model;nb_words;k;weights;distance;precision;recall;f1_score;auc
timbl;500;2;gain ratio;equal;0.78273;0.93667;0.8528087810864255;0.8383299999999999
timbl;500;10;gain ratio;equal;0.76166;0.98;0.8571441039008761;0.83667
timbl;500;1;no weights;equal;0.8244;0.92333;0.8710650409388178;0.8633299999999999
timbl;500;2;no weights;equal;0.7867;0.94667;0.8593033097376787;0.845
timbl;500;10;no weights;equal;0.65198;0.98667;0.7851452190522686;0.73
timbl;500;1;gain ratio;inverse distance;0.8294100000000001;0.94;0.8812490039052565;0.8733299999999999
timbl;500;2;gain ratio;inverse distance;0.8269799999999999;0.94;0.8798754937803484;0.8716700000000001
timbl;500;10;gain ratio;inverse distance;0.78706;0.97333;0.8703402198376495;0.855
timbl;500;1;no weights;inverse distance;0.8244;0.92333;0.8710650409388178;0.8633299999999999
timbl;500;2;no weights;inverse distance;0.81662;0.95;0.8782748978274897;0.8683299999999999
timbl;500;10;no weights;inverse distance;0.67273;0.98667;0.8000030241050983;0.75333
timbl;500;1;gain ratio;inverse linear;0.8269799999999999;0.94;0.8798754937803484;0.8716700000000001
timbl;500;2;gain ratio;inverse linear;0.81792;0.94333;0.876160083577005;0.86667
timbl;500;10;gain ratio;inverse linear;0.79076;0.97;0.8712569572230173;0.85667
timbl;500;1;no weights;inverse linear;0.80758;0.92333;0.8615847633903553;0.85167
timbl;500;2;no weights;inverse linear;0.80056;0.95;0.868901380129787;0.85667
timbl;500;10;no weights;inverse linear;0.6789;0.98667;0.8043495776220753;0.76
timbl;500;1;gain ratio;exponential decay;0.8294100000000001;0.94;0.8812490039052565;0.8733299999999999
timbl;500;2;gain ratio;exponential decay;0.8126800000000001;0.94;0.8717155441951754;0.86167
timbl;500;10;gain ratio;exponential decay;0.76903;0.97667;0.8605012660823738;0.84167
timbl;500;1;no weights;exponential decay;0.81711;0.92333;0.8669786678081405;0.8583299999999999
timbl;500;2;no weights;exponential decay;0.77596;0.94667;0.8528564499631377;0.83667
timbl;500;10;no weights;exponential decay;0.6298699999999999;0.97;0.7637794320788563;0.7
